Cell Data,Filename,Table Number,IsQuestion
"Name: ______________________Date: __________________________
Directions:
Below is a list of sentences that describe how people feel. Read each phrase and decide if it is 
“Not True or Hardly Ever True” or “Somewhat True or Sometimes True” or “Very True or Often 
True” for you.  Then for each sentence, fill in one circle that corresponds to the response that 
seems to describe you for the last 3 months.",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"0
Not True 
or Hardly 
Ever True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"1
Somewhat 
True or 
Sometimes 
True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"2
Very True 
or Often 
True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"When I feel frightened, it is hard for me to breathe",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I get headaches when I am at school,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I don’t like to be with people I don’t know well,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I get scared if I sleep away from home,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I worry about other people liking me,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"When I get frightened, I feel like passing out",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I am nervous,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
I follow my mother or father wherever they go,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
People tell me that I look nervous,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
10.   I feel nervous with people I don’t know well,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
11.   My I get stomachaches at school,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"12.   When I get frightened, I feel like I am going crazy",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
13.   I worry about sleeping alone,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
14.   I worry about being as good as other kids,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"15.   When I get frightened, I feel like things are not real",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"I have nightmares about something bad happening to my par-
ents",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
17.   I worry about going to school,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"18.   When I get frightened, my heart beats fast",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
19.   I get shaky,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
20.   I have nightmares about something bad happening to me,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,1,0
"0
Not True 
or Hardly 
Ever True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
"1
Somewhat 
True or 
Sometimes 
True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
"2
Very True 
or Often 
True",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
21.   I worry about things working out for me,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
"22.   When I get frightened, I sweat a lot",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
23.   I am a worrier,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
24.   I get really frightened for no reason at all,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
25.   I am afraid to be alone in the house,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
26.   It is hard for me to talk with people I don’t know well,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
"27.   When I get frightened, I feel like I am choking",C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
28.   People tell me that I worry too much,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,1
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
o,C:\Users\tates\Downloads\pdf-questionnaire-extraction-main\pdf-questionnaire-extraction-main\data\preprocessed_tables\018_scaredformparentandchildversio.json,2,0
